rank,gid,role,priority_score,why
1,100000000331309100,coordinator,0.92842527,Связывает 11 узлов сбора/рассылки; достижим от 7 seed; betweenness=0.00456. Гипотеза структурной координации. Достижим от 7 seed. Проверить назначение и полную историю переводов.
2,100000008603629100,coordinator,0.91719835,Связывает 19 узлов сбора/рассылки; достижим от 7 seed; betweenness=0.00576. Гипотеза структурной координации. Достижим от 7 seed. Проверить назначение и полную историю переводов.
3,100000000437046100,coordinator,0.91463901,Связывает 14 узлов сбора/рассылки; достижим от 7 seed; betweenness=0.00220. Гипотеза структурной координации. Достижим от 7 seed. Проверить назначение и полную историю переводов.
4,100000008346837100,coordinator,0.88135529,Связывает 6 узлов сбора/рассылки; достижим от 7 seed; betweenness=0.00898. Гипотеза структурной координации. Достижим от 7 seed. Проверить назначение и полную историю переводов.
5,100000003115284100,consolidator,0.88105092,"Вход от 8 плательщиков (seed: 2); 2,160,500 KZT; исходящих связей 2. Признаки консолидации. Достижим от 11 seed. Проверить назначение и полную историю переводов."
6,100000008477350100,coordinator,0.87596803,Связывает 14 узлов сбора/рассылки; достижим от 7 seed; betweenness=0.00252. Гипотеза структурной координации. Достижим от 7 seed. Проверить назначение и полную историю переводов.
7,100000001857829100,consolidator,0.86759994,"Вход от 6 плательщиков (seed: 0); 888,535 KZT; исходящих связей 16. Признаки консолидации. Достижим от 7 seed. Проверить назначение и полную историю переводов."
8,100000008547948100,consolidator,0.86013132,"Вход от 6 плательщиков (seed: 0); 212,665 KZT; исходящих связей 26. Признаки консолидации. Достижим от 8 seed. Проверить назначение и полную историю переводов."
9,100000002957787100,coordinator,0.85358284,Связывает 5 узлов сбора/рассылки; достижим от 7 seed; betweenness=0.00428. Гипотеза структурной координации. Достижим от 7 seed. Проверить назначение и полную историю переводов.
10,100000005704413100,coordinator,0.85355238,Связывает 4 узлов сбора/рассылки; достижим от 7 seed; betweenness=0.00256. Гипотеза структурной координации. Достижим от 7 seed. Проверить назначение и полную историю переводов.
11,100000007055802100,consolidator,0.84241176,"Вход от 6 плательщиков (seed: 1); 2,024,999 KZT; исходящих связей 1. Признаки консолидации. Достижим от 7 seed. Проверить назначение и полную историю переводов."
12,100000004299488100,consolidator,0.84146426,"Вход от 6 плательщиков (seed: 1); 1,749,000 KZT; исходящих связей 2. Признаки консолидации. Достижим от 7 seed. Проверить назначение и полную историю переводов."
13,100000004400305100,coordinator,0.84058548,Связывает 21 узлов сбора/рассылки; достижим от 7 seed; betweenness=0.00261. Гипотеза структурной координации. Достижим от 7 seed. Проверить назначение и полную историю переводов.
14,100000007442518100,consolidator,0.84026541,"Вход от 5 плательщиков (seed: 1); 510,000 KZT; исходящих связей 9. Признаки консолидации. Достижим от 7 seed. Проверить назначение и полную историю переводов."
15,100000004156082100,consolidator,0.83917103,"Вход от 5 плательщиков (seed: 1); 377,366 KZT; исходящих связей 26. Признаки консолидации. Достижим от 7 seed. Проверить назначение и полную историю переводов."
16,100000004015047100,consolidator,0.83845628,"Вход от 9 плательщиков (seed: 3); 919,104 KZT; исходящих связей 1. Признаки консолидации. Достижим от 11 seed. Проверить назначение и полную историю переводов."
17,100000007594394100,consolidator,0.82920896,"Вход от 6 плательщиков (seed: 0); 395,385 KZT; исходящих связей 1. Признаки консолидации. Достижим от 9 seed. Проверить назначение и полную историю переводов."
18,100000008165763100,consolidator,0.82601715,"Вход от 15 плательщиков (seed: 1); 1,165,815 KZT; исходящих связей 17. Признаки консолидации. Достижим от 9 seed. Проверить назначение и полную историю переводов."
19,100000005910114100,coordinator,0.82108186,Связывает 17 узлов сбора/рассылки; достижим от 7 seed; betweenness=0.00584. Гипотеза структурной координации. Достижим от 7 seed. Проверить назначение и полную историю переводов.
