gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,betweenness,pass_through_defined,pass_through,balance_comparable,truncated_by_depth,unobserved_funding,seed_reach,seed_payers,in_cycle,reciprocal_neighbors,repeat_routes,fast_out_share,matched_lag_days,max_payers_same_day,burst_share,near_threshold_share,in_avg_kzt,out_avg_kzt,volume_depth_percentile,neighbor_clusters,base_role,structural_neighbors,flags,priority_role,priority_reach,priority_volume,priority_pagerank,priority_patterns,seed_discount
100000000011452100,peripheral,0.5,1,0.50462212,"Колено 1; входящих связей 3, исходящих 1; вход 110,000 KZT. Пороги значимых ролей не достигнуты.",1,False,3,1,110000,16685,7,2,0.000487243914152,3.36849647358e-06,True,0.151681818182,True,False,False,7,1,True,1,3,0.124409090909,2,1,0.384299640841,0.555555555556,15714.2857143,8342.5,0.593220338983,2,peripheral,2,directed_cycle,0.03,0.1875,0.138286115021,0.115502669039,0.0333333333333,1
100000000018102100,peripheral,0.25,7,0.40337807,"4-е колено: исходящие не выгружены. Вход 1 плательщиков, 7,000 KZT. Роль за границей обхода не установлена.",4,False,1,0,7000,0,1,0,0.000318636859528,0,True,0,True,True,False,7,0,False,0,0,0,0,1,1,1,7000,0,0.112612612613,1,peripheral,0,truncated_depth4,0.03,0.1875,0.10420547279,0.0816725978648,0,1
100000000031787100,transit,0.861111,9,0.52795103,"Вход 90,000 KZT; выход/вход=1.00; сопоставлено за 1–2 дня 44%. Признаки транзита.",2,False,1,2,90000,90000,2,4,0.000428872329088,3.96293702774e-07,True,1,True,False,False,1,0,True,1,2,0.444444444444,1.5,1,0.333333333333,0,45000,22500,0.650432900433,1,transit,0,directed_cycle,0.18,0.0625,0.142420184438,0.109697508897,0.0333333333333,1
100000000041368100,terminal,0.622222,4,0.58618525,"Колено 1; вход 160,000 KZT; исходящих связей 0, выход/вход=0.00. Получатель в видимой выборке.",1,False,1,0,160000,0,1,0,0.000315815970809,0,True,0,True,False,False,10,1,False,0,0,0,0,1,1,0,160000,0,0.629237288136,1,terminal,1,none,0.15,0.216214476165,0.141033937507,0.0789368327402,0,1
100000000076451100,peripheral,0.5,3,0.53629529,"Колено 2; входящих связей 3, исходящих 4; вход 87,707 KZT. Пороги значимых ролей не достигнуты.",2,False,3,4,87707,58000,4,4,0.00138363695267,9.76863977338e-05,True,0.661292713238,True,False,False,7,0,True,2,1,0.0570079925206,2,2,0.293101909997,0.25,21926.75,14500,0.601731601732,1,peripheral,1,directed_cycle,0.03,0.1875,0.139932595202,0.145529359431,0.0333333333333,1
100000000089154100,distributor,0.583333,1,0.62286052,"Переводы 15 получателям; 21 операций; 425,500 KZT. Признаки веерного распределения.",1,False,1,15,10000,425500,1,21,0.000285899281973,0.000108954784611,True,42.55,True,False,True,7,1,True,1,4,0,0,1,0.290470723307,0.136363636364,10000,20261.9047619,0.805084745763,5,distributor,11,unobserved_funding;directed_cycle,0.24,0.1875,0.152819003436,0.00920818505338,0.0333333333333,1
100000000190228100,peripheral,0.5,9,0.48195564,"Колено 2; входящих связей 1, исходящих 1; вход 5,000 KZT. Пороги значимых ролей не достигнуты.",2,False,1,1,5000,28560,1,1,0.000578558029707,2.15980068012e-05,True,5.712,True,False,True,8,0,False,0,0,0,0,1,0.851013110846,0.5,5000,28560,0.296536796537,1,peripheral,0,unobserved_funding,0.03,0.19812031259,0.122652049654,0.131183274021,0,1
100000000201868100,transit,1,3,0.7279079,"Вход 190,000 KZT; выход/вход=1.00; сопоставлено за 1–2 дня 100%. Признаки транзита.",2,False,1,1,190000,190000,1,1,0.000967521063811,0,True,1,True,False,False,7,0,True,1,0,1,1,1,0.5,0,190000,190000,0.782467532468,1,transit,0,fast_temporal_match;directed_cycle,0.18,0.1875,0.151214538563,0.142526690391,0.0666666666667,1
100000000254336100,peripheral,0.5,11,0.42582146,"Колено 3; входящих связей 2, исходящих 1; вход 97,177 KZT. Пороги значимых ролей не достигнуты.",3,False,2,1,97177,60000,2,1,0.000290357280847,1.92202445845e-05,True,0.617430050321,True,False,False,7,0,False,0,0,0.617430050321,1,1,0.557263467301,0,48588.5,60000,0.643852978454,2,peripheral,2,fast_temporal_match,0.03,0.1875,0.140824425783,0.0341637010676,0.0333333333333,1
100000000267734100,peripheral,0.5,9,0.40285735,"Колено 1; входящих связей 2, исходящих 7; вход 180,000 KZT. Пороги значимых ролей не достигнуты.",1,False,2,7,180000,282000,4,8,0.00053390125963,3.56664332497e-06,True,1.56666666667,True,False,True,1,1,True,1,2,0.222222222222,1,1,0.25974025974,0,45000,35250,0.826271186441,1,peripheral,1,unobserved_funding;directed_cycle,0.03,0.0625,0.153514231211,0.123509786477,0.0333333333333,1
